datetime,symbol,Open,High,Low,Close,Volume,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M)
2013-10-18 10:00:00,BMFBOVESPA:ENGI11,8.214374,8.214374,7.666749,7.666749,1888.0,-8.571431637943897,-7.758323949848813,6.559347730365863,6.304299537525804,7.604738375155116,7.145804256602268,6.283514628652631,8.981055247408731,-1.2180831191819377,-1.3776644223929493,0.4043915869162579,-0.1523185066692602,-1.3512003190294992,-1.0780539715677735,0.3979192101810288,0.7043527087467608
2013-10-21 09:00:00,BMFBOVESPA:ENGI11,8.214374,8.45396,8.214374,8.45396,8024.0,0.8163251190416974,-3.94829589791157,17.50071162348002,23.97199105473476,6.948148569437819,6.49694063029827,5.654144669106328,8.180837964165653,0.0176626797636108,-0.9293931778245944,2.3831629598749475,1.991335267635901,-0.2955956056151318,-0.9043940272976608,1.056186755405161,1.5850562392715064
2013-10-22 09:00:00,BMFBOVESPA:ENGI11,8.488187,8.522413,8.45396,8.45396,4517.0,-1.2000037397857035,-7.576914103847125,16.460889192877037,22.429231036811352,6.999066356621535,6.4259898874055965,5.6069781888451535,8.205575549798247,-0.2708127435393571,-1.50491221838718,2.2164004457222,1.7962312178905515,-0.7089581506656689,-1.143396068655247,0.8469129400726535,1.501110115069095
2013-10-23 09:00:00,BMFBOVESPA:ENGI11,8.488187,8.488187,8.419734,8.419734,7292.0,-1.5999971951607146,3.555025984277332,15.989395313852835,19.28285223660289,6.91458413390869,6.2563906147687405,5.587019075082876,8.26390173159367,-0.3322340480592657,0.2329888194650525,2.1385639823214704,1.401736325620799,-0.6287862325842626,-0.5459267328180435,1.028558807895636,1.3962710890358565
2013-10-25 09:00:00,BMFBOVESPA:ENGI11,8.45396,8.45396,8.351281,8.351281,10214.0,-2.399995792741072,-3.706456050988312,15.046393779906614,18.31307467781633,6.802747604729239,6.32418711767411,5.582177177488446,8.356340266386562,-0.4558334477030485,-0.9188934366077032,1.9687587074251889,1.2680419065978374,-0.79183108761119,-0.7218786713010169,1.1828580429289655,1.3749128815510736
2013-11-14 09:00:00,BMFBOVESPA:ENGI11,8.55664,8.55664,8.55664,8.55664,1447.0,1.626013363367533,-2.103406583247976,14.925975934774844,23.9162304362478,6.639481948424944,6.1481858102024205,5.413543194262969,8.193345396129704,0.1371257365651348,-0.6929372863300907,1.988129598510566,1.9618792437919144,0.6500662520301531,-0.42338006405837575,1.397868967483452,1.597187066423057
2013-11-18 09:00:00,BMFBOVESPA:ENGI11,8.542949,8.542949,8.419734,8.419734,5830.0,11.818187975499628,-1.7659929024271006,12.50473516924948,21.39403976804068,6.747440812164708,6.183363174864858,5.478126125045202,8.34952363447268,1.6454562216691528,-0.6350291956918509,1.5213154460294562,1.622036263232304,1.6290561944157957,-0.38981778616908663,1.1188806592970821,1.4227026346736726
2013-11-21 09:00:00,BMFBOVESPA:ENGI11,8.419734,8.419734,8.009015,8.009015,10214.0,1.7391273418597193,-8.368789019560458,7.0166957224000885,17.0258140139063,7.125263200137194,6.442737659070421,5.723616690350225,8.779899030339557,0.1436519328943757,-1.6360406914281012,0.4932256712878174,1.041948139957223,0.6950993837794655,-0.5750258229074093,0.9422013603466478,1.1587432103405488
2013-11-22 09:00:00,BMFBOVESPA:ENGI11,8.282828,8.282828,8.282828,8.282828,1447.0,9.107310315248036,1.7017063722482524,11.152446538562032,20.4864185581158,7.044966819104995,6.143160381604697,5.504360419438017,8.500977445662445,1.191168251028795,-0.0771278509905881,1.2628454414894084,1.482166920457179,1.2780282380499792,-0.19987875447392464,1.1733772020093616,1.4260959405442646
2013-11-25 09:00:00,BMFBOVESPA:ENGI11,8.419734,8.419734,8.351281,8.351281,7292.0,8.444449119176587,1.8642444503480071,13.04558462945823,22.57659935723939,7.155819822217096,6.110989667671952,5.427676301209222,8.447196455068973,1.0800830373623205,-0.0515454957583972,1.6284290290325962,1.7379862362704286,1.1382248008905842,-0.16188579821556712,1.2056238398116457,1.5710339019840904
